150, PA5-A-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  -10.334   13.059   45.327   -10.334   13.059   45.327   0.000
  -13.189   8.061   -10.707   -13.189   8.061   -10.707   0.000
  -2.181   -12.129   -0.918   -2.181   -12.129   -0.918   0.000
  2.257   24.801   13.284   2.257   24.801   13.284   0.000
  25.449   1.584   52.816   25.449   1.584   52.816   0.000
  -8.226   13.682   60.627   -8.226   13.682   60.627   0.000
  0.119   -6.419   58.163   0.119   -6.419   58.163   0.000
  27.747   12.350   42.133   27.747   12.350   42.133   0.000
  13.814   13.229   -33.766   13.814   13.229   -33.766   0.000
  20.594   22.395   -0.458   20.594   22.395   -0.458   0.000
  -10.130   1.047   46.281   -10.130   1.047   46.281   0.000
  17.560   0.713   -29.334   17.560   0.713   -29.334   0.000
  -16.173   7.474   22.730   -16.173   7.474   22.730   0.000
  12.699   -4.996   65.563   12.699   -4.996   65.563   0.000
  -17.015   1.790   16.174   -17.015   1.790   16.174   0.000
  -18.702   -28.800   -32.907   -18.702   -28.800   -32.907   0.000
  30.609   -5.297   -26.395   30.609   -5.297   -26.395   0.000
  1.961   24.975   7.866   1.961   24.975   7.866   0.000
  -16.965   6.192   -4.722   -16.965   6.192   -4.722   0.000
  27.368   -1.791   38.645   27.368   -1.791   38.645   0.000
  -13.846   -26.084   -37.663   -13.846   -26.084   -37.663   0.000
  -21.098   9.158   -27.080   -21.098   9.158   -27.080   0.000
  19.814   2.494   -32.528   19.814   2.494   -32.528   0.000
  -4.098   18.670   62.791   -4.098   18.670   62.791   0.000
  5.551   -7.297   52.035   5.551   -7.297   52.035   0.000
  -9.111   2.119   58.382   -9.111   2.119   58.382   0.000
  -9.052   17.208   6.870   -9.052   17.208   6.870   0.000
  -18.018   6.539   3.942   -18.018   6.539   3.942   0.000
  -15.361   9.619   -23.153   -15.361   9.619   -23.153   0.000
  -7.107   7.818   -26.346   -7.107   7.818   -26.346   0.000
  20.895   -11.189   -2.066   20.895   -11.189   -2.066   0.000
  34.450   -11.322   -2.308   34.450   -11.322   -2.308   0.000
  -32.152   -21.616   -14.093   -32.152   -21.616   -14.093   0.000
  0.960   -7.887   -33.511   0.960   -7.887   -33.511   0.000
  -18.156   5.132   -1.681   -18.156   5.132   -1.681   0.000
  -3.459   -6.016   41.431   -3.459   -6.016   41.431   0.000
  -5.705   -3.781   59.183   -5.705   -3.781   59.183   0.000
  -29.095   -19.890   -10.117   -29.095   -19.890   -10.117   0.000
  43.034   4.944   7.739   43.034   4.944   7.739   0.000
  -4.845   -19.067   -26.771   -4.845   -19.067   -26.771   0.000
  -13.526   8.696   -31.427   -13.526   8.696   -31.427   0.000
  -14.983   9.068   -19.379   -14.983   9.068   -19.379   0.000
  3.155   -15.458   -12.757   3.155   -15.458   -12.757   0.000
  -15.268   6.929   -36.870   -15.268   6.929   -36.870   0.000
  34.467   9.556   -14.909   34.467   9.556   -14.909   0.000
  -10.597   7.586   -16.750   -10.597   7.586   -16.750   0.000
  26.764   20.568   -11.148   26.764   20.568   -11.148   0.000
  8.094   12.255   -17.687   8.094   12.255   -17.687   0.000
  -9.305   -11.020   1.273   -9.305   -11.020   1.273   0.000
  16.376   -14.158   -20.936   16.376   -14.158   -20.936   0.000
  -33.392   -10.570   -9.880   -33.392   -10.570   -9.880   0.000
  36.883   -8.984   10.239   36.883   -8.984   10.239   0.000
  -0.462   16.934   -9.163   -0.462   16.934   -9.163   0.000
  -8.980   23.724   15.531   -8.980   23.724   15.531   0.000
  23.424   -7.766   18.442   23.424   -7.766   18.442   0.000
  19.831   -3.806   62.998   19.831   -3.806   62.998   0.000
  20.920   -9.874   3.356   20.920   -9.874   3.356   0.000
  -9.027   1.808   54.072   -9.027   1.808   54.072   0.000
  -12.173   13.233   6.472   -12.173   13.233   6.472   0.000
