150, PA5-C-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  37.904   17.886   3.903   37.904   17.886   3.903   0.000
  24.031   -12.412   0.455   24.031   -12.412   0.455   0.000
  -9.533   -3.167   54.715   -9.533   -3.167   54.715   0.000
  -11.535   0.903   48.773   -11.535   0.903   48.773   0.000
  7.962   12.081   -16.472   7.962   12.081   -16.472   0.000
  -21.132   -11.211   -47.053   -21.132   -11.211   -47.053   0.000
  -25.286   -17.442   -9.469   -25.286   -17.442   -9.469   0.000
  -17.862   -4.764   -46.652   -17.862   -4.764   -46.652   0.000
  -6.490   -18.868   -24.056   -6.490   -18.868   -24.056   0.000
  -18.582   -28.613   -33.828   -18.582   -28.613   -33.828   0.000
  -3.792   -8.643   30.904   -3.792   -8.643   30.904   0.000
  24.588   13.197   -36.198   24.588   13.197   -36.198   0.000
  -14.555   -25.257   -37.328   -14.555   -25.257   -37.328   0.000
  -31.849   0.026   -42.803   -31.849   0.026   -42.803   0.000
  -14.097   6.034   24.807   -14.097   6.034   24.807   0.000
  17.920   18.072   38.794   17.920   18.072   38.794   0.000
  40.321   4.562   -15.868   40.321   4.562   -15.868   0.000
  -36.149   -24.733   -33.807   -36.149   -24.733   -33.807   0.000
  -0.830   20.440   28.072   -0.830   20.440   28.072   0.000
  21.459   -3.111   30.250   21.459   -3.111   30.250   0.000
  23.740   -13.295   -15.531   23.740   -13.295   -15.531   0.000
  -9.184   -10.734   -43.911   -9.184   -10.734   -43.911   0.000
  13.259   15.543   63.441   13.259   15.543   63.441   0.000
  23.191   0.182   40.468   23.191   0.182   40.468   0.000
  19.626   14.267   45.967   19.626   14.267   45.967   0.000
  35.705   15.547   -22.353   35.705   15.547   -22.353   0.000
  13.500   22.801   -17.945   13.500   22.801   -17.945   0.000
  22.170   -11.204   -15.639   22.170   -11.204   -15.639   0.000
  -39.170   -9.620   -43.870   -39.170   -9.620   -43.870   0.000
  8.443   21.910   16.200   8.443   21.910   16.200   0.000
  16.605   -11.776   7.708   16.605   -11.776   7.708   0.000
  -2.120   16.147   0.910   -2.120   16.147   0.910   0.000
  -23.334   4.612   -16.365   -23.334   4.612   -16.365   0.000
  -39.765   -20.547   -18.994   -39.765   -20.547   -18.994   0.000
  10.762   -5.561   46.508   10.762   -5.561   46.508   0.000
  -12.527   -0.868   30.636   -12.527   -0.868   30.636   0.000
  5.687   20.772   56.480   5.687   20.772   56.480   0.000
  15.522   -5.540   27.698   15.522   -5.540   27.698   0.000
  -1.239   -7.508   48.576   -1.239   -7.508   48.576   0.000
  37.906   11.505   -20.719   37.906   11.505   -20.719   0.000
  -13.170   18.561   18.619   -13.170   18.561   18.619   0.000
  20.161   -3.227   33.243   20.161   -3.227   33.243   0.000
  19.629   -9.813   8.300   19.629   -9.813   8.300   0.000
  -23.537   -13.236   -8.396   -23.537   -13.236   -8.396   0.000
  -26.935   -30.140   -28.084   -26.935   -30.140   -28.084   0.000
  20.727   -0.660   -23.307   20.727   -0.660   -23.307   0.000
  29.240   8.902   -34.506   29.240   8.902   -34.506   0.000
  28.741   23.315   -19.537   28.741   23.315   -19.537   0.000
  -29.609   -24.295   -41.242   -29.609   -24.295   -41.242   0.000
  -0.563   -8.584   26.727   -0.563   -8.584   26.727   0.000
  7.533   -8.490   -25.248   7.533   -8.490   -25.248   0.000
  25.531   23.240   -23.994   25.531   23.240   -23.994   0.000
  -17.273   -6.192   4.786   -17.273   -6.192   4.786   0.000
  20.176   -6.263   17.724   20.176   -6.263   17.724   0.000
  -9.936   -1.161   61.536   -9.936   -1.161   61.536   0.000
  41.117   -1.326   11.329   41.117   -1.326   11.329   0.000
  15.608   -6.843   17.158   15.608   -6.843   17.158   0.000
  -28.727   1.580   -42.833   -28.727   1.580   -42.833   0.000
  -0.921   17.239   0.533   -0.921   17.239   0.533   0.000
  -11.573   -1.270   42.904   -11.573   -1.270   42.904   0.000
  -15.793   4.655   15.483   -15.793   4.655   15.483   0.000
  -10.188   -13.543   -5.183   -10.188   -13.543   -5.183   0.000
  -30.114   -7.631   -10.797   -30.114   -7.631   -10.797   0.000
  -30.371   -10.439   -9.873   -30.371   -10.439   -9.873   0.000
  21.804   -12.237   -15.612   21.804   -12.237   -15.612   0.000
  -31.422   -11.614   -9.449   -31.422   -11.614   -9.449   0.000
  -12.810   17.283   22.124   -12.810   17.283   22.124   0.000
  -4.054   -13.213   -5.320   -4.054   -13.213   -5.320   0.000
  -41.390   -17.228   -38.589   -41.390   -17.228   -38.589   0.000
  -2.914   7.879   -21.700   -2.914   7.879   -21.700   0.000
  2.354   2.762   -25.902   2.354   2.762   -25.902   0.000
  28.749   5.189   27.457   28.749   5.189   27.457   0.000
  7.074   -11.898   -22.574   7.074   -11.898   -22.574   0.000
  -38.903   1.023   -36.860   -38.903   1.023   -36.860   0.000
  -41.957   0.403   -21.989   -41.957   0.403   -21.989   0.000
  44.426   5.217   -2.994   44.426   5.217   -2.994   0.000
  -33.838   -26.369   -31.310   -33.838   -26.369   -31.310   0.000
  -30.904   -23.227   -13.456   -30.904   -23.227   -13.456   0.000
  -0.737   -8.250   28.914   -0.737   -8.250   28.914   0.000
  -1.598   -7.612   46.906   -1.598   -7.612   46.906   0.000
  -30.174   7.517   -35.775   -30.174   7.517   -35.775   0.000
  40.835   12.954   3.215   40.835   12.954   3.215   0.000
  -6.181   -18.145   -22.879   -6.181   -18.145   -22.879   0.000
  -11.900   -7.813   13.190   -11.900   -7.813   13.190   0.000
