150, PA5-D-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  -37.284   -25.028   -39.584   -37.284   -25.028   -39.584   0.000
  23.089   12.725   -19.642   23.089   12.725   -19.642   0.000
  -0.941   22.671   9.242   -0.941   22.671   9.242   0.000
  22.383   -1.353   -28.107   22.383   -1.353   -28.107   0.000
  2.829   10.847   -16.136   2.829   10.847   -16.136   0.000
  -36.015   2.173   -32.292   -36.015   2.173   -32.292   0.000
  -13.104   20.275   35.647   -13.104   20.275   35.647   0.000
  -2.722   27.066   33.737   -2.722   27.066   33.737   0.000
  -21.624   -0.545   -50.381   -21.624   -0.545   -50.381   0.000
  31.011   -4.555   0.240   31.011   -4.555   0.240   0.000
  29.884   -8.941   -5.312   29.884   -8.941   -5.312   0.000
  -16.576   23.411   35.033   -16.576   23.411   35.033   0.000
  -15.331   4.724   -15.871   -15.331   4.724   -15.871   0.000
  -3.265   -24.340   -35.681   -3.265   -24.340   -35.681   0.000
  17.765   -2.900   63.087   17.765   -2.900   63.087   0.000
  7.725   23.949   38.620   7.725   23.949   38.620   0.000
  13.403   -4.986   39.229   13.403   -4.986   39.229   0.000
  30.305   -5.844   6.742   30.305   -5.844   6.742   0.000
  12.093   -7.504   9.538   12.093   -7.504   9.538   0.000
  -9.778   -31.099   -37.925   -9.778   -31.099   -37.925   0.000
  -16.237   -5.491   -53.006   -16.237   -5.491   -53.006   0.000
  -27.749   7.652   -32.770   -27.749   7.652   -32.770   0.000
  -8.074   4.530   36.959   -8.074   4.530   36.959   0.000
  -36.031   -26.351   -29.384   -36.031   -26.351   -29.384   0.000
  -23.259   7.187   -25.315   -23.259   7.187   -25.315   0.000
  25.483   -3.831   27.037   25.483   -3.831   27.037   0.000
  -25.225   -6.754   -51.762   -25.225   -6.754   -51.762   0.000
  -37.137   -1.469   -27.608   -37.137   -1.469   -27.608   0.000
  -14.095   -27.592   -18.757   -14.095   -27.592   -18.757   0.000
  29.780   7.833   -7.438   29.780   7.833   -7.438   0.000
  -29.259   -27.678   -20.596   -29.259   -27.678   -20.596   0.000
  16.980   18.286   34.186   16.980   18.286   34.186   0.000
  -2.642   -14.429   -44.662   -2.642   -14.429   -44.662   0.000
  -1.033   -17.055   -40.481   -1.033   -17.055   -40.481   0.000
  25.222   2.498   -24.513   25.222   2.498   -24.513   0.000
  -17.292   7.434   -26.773   -17.292   7.434   -26.773   0.000
  20.964   -13.638   -6.970   20.964   -13.638   -6.970   0.000
  0.525   -12.881   8.868   0.525   -12.881   8.868   0.000
  -15.742   -14.879   -53.575   -15.742   -14.879   -53.575   0.000
  -17.388   -8.281   -1.702   -17.388   -8.281   -1.702   0.000
  13.508   -5.255   30.393   13.508   -5.255   30.393   0.000
  26.374   -0.646   30.332   26.374   -0.646   30.332   0.000
  30.999   5.748   -6.967   30.999   5.748   -6.967   0.000
  -37.722   -17.796   -50.708   -37.722   -17.796   -50.708   0.000
  -10.751   -0.514   21.996   -10.751   -0.514   21.996   0.000
  -8.001   -29.303   -39.277   -8.001   -29.303   -39.277   0.000
  20.893   16.262   21.292   20.893   16.262   21.292   0.000
  -14.464   -27.431   -18.521   -14.464   -27.431   -18.521   0.000
  -27.551   -14.576   -13.231   -27.551   -14.576   -13.231   0.000
  7.888   11.217   60.954   7.888   11.217   60.954   0.000
