400, PA5-E-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  6.701   -15.196   -20.399   6.701   -15.196   -20.399   0.000
  28.736   -3.314   25.249   28.736   -3.314   25.249   0.000
  -36.644   -2.244   -11.620   -36.644   -2.244   -11.620   0.000
  20.507   14.546   28.656   20.507   14.546   28.656   0.000
  9.111   -15.784   2.831   9.111   -15.784   2.831   0.000
  -46.214   -8.767   -20.726   -46.214   -8.767   -20.726   0.000
  -4.012   18.453   47.862   -4.012   18.453   47.862   0.000
  -6.220   -24.324   -30.253   -6.220   -24.324   -30.253   0.000
  26.386   -15.821   -12.908   26.386   -15.821   -12.908   0.000
  -17.930   6.086   -6.491   -17.930   6.086   -6.491   0.000
  17.355   -12.296   -17.043   17.355   -12.296   -17.043   0.000
  -28.531   -18.597   -7.394   -28.531   -18.597   -7.394   0.000
  -18.582   11.108   27.804   -18.582   11.108   27.804   0.000
  -33.977   -30.480   -20.598   -33.977   -30.480   -20.598   0.000
  3.741   21.704   -9.713   3.741   21.704   -9.713   0.000
  -1.646   22.560   21.739   -1.646   22.560   21.739   0.000
  -40.291   -15.079   -10.174   -40.291   -15.079   -10.174   0.000
  19.667   -10.702   12.569   19.667   -10.702   12.569   0.000
  5.267   -11.188   16.502   5.267   -11.188   16.502   0.000
  18.008   -0.395   54.811   18.008   -0.395   54.811   0.000
  -7.870   -26.387   -25.810   -7.870   -26.387   -25.810   0.000
  28.177   13.374   -28.094   28.177   13.374   -28.094   0.000
  14.765   -9.287   18.865   14.765   -9.287   18.865   0.000
  -40.416   3.125   -19.069   -40.416   3.125   -19.069   0.000
  -40.547   3.089   -30.947   -40.547   3.089   -30.947   0.000
  -20.191   -3.600   -46.284   -20.191   -3.600   -46.284   0.000
  -9.620   5.815   -21.691   -9.620   5.815   -21.691   0.000
  -15.572   22.721   19.911   -15.572   22.721   19.911   0.000
  -19.186   -31.414   -20.790   -19.186   -31.414   -20.790   0.000
  -12.791   -8.573   -44.364   -12.791   -8.573   -44.364   0.000
  26.058   5.596   33.078   26.058   5.596   33.078   0.000
  -3.594   1.483   54.173   -3.594   1.483   54.173   0.000
  26.374   -6.971   18.746   26.374   -6.971   18.746   0.000
  19.697   23.211   9.181   19.697   23.211   9.181   0.000
  41.029   2.288   10.164   41.029   2.288   10.164   0.000
  31.043   -3.911   19.618   31.043   -3.911   19.618   0.000
  -16.499   -25.829   -39.687   -16.499   -25.829   -39.687   0.000
  -11.534   14.605   3.488   -11.534   14.605   3.488   0.000
  5.850   -18.330   -16.446   5.850   -18.330   -16.446   0.000
  14.717   2.426   -21.517   14.717   2.426   -21.517   0.000
  21.169   -11.002   11.460   21.169   -11.002   11.460   0.000
  -35.674   2.413   -39.593   -35.674   2.413   -39.593   0.000
  2.184   19.986   47.889   2.184   19.986   47.889   0.000
  -35.644   -19.913   -45.262   -35.644   -19.913   -45.262   0.000
  -6.731   -7.954   53.007   -6.731   -7.954   53.007   0.000
  17.921   -6.949   40.959   17.921   -6.949   40.959   0.000
  2.216   -19.134   -23.161   2.216   -19.134   -23.161   0.000
  -6.967   -11.894   -41.771   -6.967   -11.894   -41.771   0.000
  -21.373   9.408   -21.726   -21.373   9.408   -21.726   0.000
  8.199   -16.753   0.702   8.199   -16.753   0.702   0.000
  29.983   -0.344   26.647   29.983   -0.344   26.647   0.000
  37.743   9.298   11.714   37.743   9.298   11.714   0.000
  -10.248   -1.131   -39.215   -10.248   -1.131   -39.215   0.000
  6.002   -9.236   37.084   6.002   -9.236   37.084   0.000
  -18.777   2.895   21.610   -18.777   2.895   21.610   0.000
  -15.292   8.916   -2.192   -15.292   8.916   -2.192   0.000
  -12.309   -25.402   -14.558   -12.309   -25.402   -14.558   0.000
  20.311   23.400   -19.738   20.311   23.400   -19.738   0.000
  17.274   13.865   45.130   17.274   13.865   45.130   0.000
  18.019   -6.139   46.550   18.019   -6.139   46.550   0.000
  -3.777   22.108   7.317   -3.777   22.108   7.317   0.000
  -11.993   -26.927   -32.720   -11.993   -26.927   -32.720   0.000
  -15.270   7.971   -4.483   -15.270   7.971   -4.483   0.000
  -19.752   9.611   3.810   -19.752   9.611   3.810   0.000
  25.166   21.831   -20.600   25.166   21.831   -20.600   0.000
  4.795   -13.155   -23.328   4.795   -13.155   -23.328   0.000
  22.563   7.169   43.623   22.563   7.169   43.623   0.000
  32.488   -9.611   1.394   32.488   -9.611   1.394   0.000
  34.737   -0.538   -17.056   34.737   -0.538   -17.056   0.000
  -21.378   5.155   -13.783   -21.378   5.155   -13.783   0.000
  21.781   -15.236   -15.841   21.781   -15.236   -15.841   0.000
  -3.999   -14.569   5.745   -3.999   -14.569   5.745   0.000
  -9.554   -6.765   47.055   -9.554   -6.765   47.055   0.000
  28.539   -12.317   -1.114   28.539   -12.317   -1.114   0.000
  -43.460   -11.000   -39.244   -43.460   -11.000   -39.244   0.000
  23.548   23.442   -6.895   23.548   23.442   -6.895   0.000
  -5.411   18.360   50.252   -5.411   18.360   50.252   0.000
  -24.799   4.171   -14.409   -24.799   4.171   -14.409   0.000
