400, PA5-F-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  14.569   -20.560   -16.589   14.569   -20.560   -16.589   0.000
  -11.777   1.536   42.001   -11.777   1.536   42.001   0.000
  9.015   20.533   -14.982   9.015   20.533   -14.982   0.000
  35.866   14.980   -1.769   35.866   14.980   -1.769   0.000
  -17.863   -30.872   -34.464   -17.863   -30.872   -34.464   0.000
  -13.166   9.500   35.886   -13.166   9.500   35.886   0.000
  -16.014   9.362   -30.586   -16.014   9.362   -30.586   0.000
  -33.434   -18.244   -9.583   -33.434   -18.244   -9.583   0.000
  -8.215   9.415   -27.105   -8.215   9.415   -27.105   0.000
  -12.918   -33.222   -31.164   -12.918   -33.222   -31.164   0.000
  26.720   -8.130   16.523   26.720   -8.130   16.523   0.000
  28.477   -5.498   18.346   28.477   -5.498   18.346   0.000
  -34.043   -21.807   -34.049   -34.043   -21.807   -34.049   0.000
  34.709   10.278   12.831   34.709   10.278   12.831   0.000
  -33.401   -17.419   -8.478   -33.401   -17.419   -8.478   0.000
  -35.438   -1.012   -26.644   -35.438   -1.012   -26.644   0.000
  41.831   6.557   1.902   41.831   6.557   1.902   0.000
  31.700   2.419   -31.874   31.700   2.419   -31.874   0.000
  -19.318   -32.032   -13.762   -19.318   -32.032   -13.762   0.000
  38.959   7.287   -13.665   38.959   7.287   -13.665   0.000
  -15.615   3.318   10.573   -15.615   3.318   10.573   0.000
  39.148   0.214   -13.386   39.148   0.214   -13.386   0.000
  12.233   10.942   -21.606   12.233   10.942   -21.606   0.000
  4.689   21.807   27.909   4.689   21.807   27.909   0.000
  3.006   8.974   -15.643   3.006   8.974   -15.643   0.000
  -23.942   -32.745   -21.862   -23.942   -32.745   -21.862   0.000
  30.823   -3.230   -32.289   30.823   -3.230   -32.289   0.000
  -10.000   -9.985   10.848   -10.000   -9.985   10.848   0.000
  5.639   21.299   27.023   5.639   21.299   27.023   0.000
  -19.098   23.209   20.869   -19.098   23.209   20.869   0.000
  28.701   19.825   5.363   28.701   19.825   5.363   0.000
  -19.188   19.502   19.161   -19.188   19.502   19.161   0.000
  -27.212   -6.429   -40.396   -27.212   -6.429   -40.396   0.000
  -25.197   -21.885   -41.027   -25.197   -21.885   -41.027   0.000
