150, PA5-G-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  34.641   10.455   -12.728   34.641   10.455   -12.728   0.000
  38.692   11.423   7.522   38.692   11.423   7.522   0.000
  28.940   -3.767   29.215   28.940   -3.767   29.215   0.000
  -21.447   -27.462   -11.656   -21.447   -27.462   -11.656   0.000
  -9.299   -23.251   -9.477   -9.299   -23.251   -9.477   0.000
  -33.760   -15.442   -33.382   -33.760   -15.442   -33.382   0.000
  -7.830   -10.550   7.953   -7.830   -10.550   7.953   0.000
  35.193   -11.291   -11.887   35.193   -11.291   -11.887   0.000
  -5.861   -3.394   48.909   -5.861   -3.394   48.909   0.000
  16.196   -12.179   8.345   16.196   -12.179   8.345   0.000
  -1.522   -17.980   -6.609   -1.522   -17.980   -6.609   0.000
  -20.860   24.527   26.889   -20.860   24.527   26.889   0.000
  -3.991   24.596   37.973   -3.991   24.596   37.973   0.000
  -30.613   -5.659   -38.149   -30.613   -5.659   -38.149   0.000
  18.365   -15.474   -0.140   18.365   -15.474   -0.140   0.000
  6.726   -8.614   51.817   6.726   -8.614   51.817   0.000
  10.828   21.927   39.938   10.828   21.927   39.938   0.000
  -10.554   9.769   -13.614   -10.554   9.769   -13.614   0.000
  -5.341   -2.709   57.701   -5.341   -2.709   57.701   0.000
  24.933   -3.535   -29.463   24.933   -3.535   -29.463   0.000
  -14.335   27.618   33.662   -14.335   27.618   33.662   0.000
  -29.567   1.316   -36.561   -29.567   1.316   -36.561   0.000
  21.992   -16.064   -26.296   21.992   -16.064   -26.296   0.000
  21.310   7.587   -32.202   21.310   7.587   -32.202   0.000
  20.022   -15.475   -25.242   20.022   -15.475   -25.242   0.000
  34.997   4.578   -17.060   34.997   4.578   -17.060   0.000
  -17.070   -13.506   -43.556   -17.070   -13.506   -43.556   0.000
  27.275   -7.358   25.231   27.275   -7.358   25.231   0.000
  -3.883   13.199   61.065   -3.883   13.199   61.065   0.000
  31.885   16.646   -9.021   31.885   16.646   -9.021   0.000
  -22.275   -2.904   -43.434   -22.275   -2.904   -43.434   0.000
  -19.758   -31.943   -22.576   -19.758   -31.943   -22.576   0.000
  8.412   -8.636   40.770   8.412   -8.636   40.770   0.000
  20.150   3.065   62.641   20.150   3.065   62.641   0.000
  22.986   -17.163   -5.198   22.986   -17.163   -5.198   0.000
  20.273   2.414   62.627   20.273   2.414   62.627   0.000
  -8.260   9.591   -10.068   -8.260   9.591   -10.068   0.000
  13.368   -15.568   -19.555   13.368   -15.568   -19.555   0.000
  -11.636   13.267   5.533   -11.636   13.267   5.533   0.000
  27.855   17.352   -21.018   27.855   17.352   -21.018   0.000
  -8.709   11.624   -23.863   -8.709   11.624   -23.863   0.000
  17.069   24.141   -22.945   17.069   24.141   -22.945   0.000
  -22.636   23.141   30.704   -22.636   23.141   30.704   0.000
  2.584   -9.178   22.687   2.584   -9.178   22.687   0.000
  -8.271   -27.104   -12.512   -8.271   -27.104   -12.512   0.000
  -4.545   -21.427   -38.713   -4.545   -21.427   -38.713   0.000
  5.232   -8.830   23.289   5.232   -8.830   23.289   0.000
  0.980   -8.811   26.698   0.980   -8.811   26.698   0.000
  -4.321   -24.291   -17.167   -4.321   -24.291   -17.167   0.000
  -31.884   5.167   -14.214   -31.884   5.167   -14.214   0.000
  -35.195   -7.475   -11.839   -35.195   -7.475   -11.839   0.000
  29.332   12.254   26.463   29.332   12.254   26.463   0.000
  -28.153   2.629   -12.376   -28.153   2.629   -12.376   0.000
  -3.492   -16.021   -40.537   -3.492   -16.021   -40.537   0.000
  -6.972   -15.466   -42.934   -6.972   -15.466   -42.934   0.000
  -6.694   10.437   -7.786   -6.694   10.437   -7.786   0.000
  -25.036   -23.870   -9.885   -25.036   -23.870   -9.885   0.000
  23.087   -17.465   -5.430   23.087   -17.465   -5.430   0.000
  -30.456   -4.957   -38.206   -30.456   -4.957   -38.206   0.000
  40.249   8.765   1.779   40.249   8.765   1.779   0.000
  27.350   -13.020   5.688   27.350   -13.020   5.688   0.000
  32.714   16.411   11.430   32.714   16.411   11.430   0.000
  22.758   18.274   49.573   22.758   18.274   49.573   0.000
  32.657   14.074   -12.254   32.657   14.074   -12.254   0.000
  6.923   -18.232   -13.345   6.923   -18.232   -13.345   0.000
  -23.529   -30.702   -22.883   -23.529   -30.702   -22.883   0.000
  -7.921   -12.286   -44.302   -7.921   -12.286   -44.302   0.000
  3.469   -1.947   -21.391   3.469   -1.947   -21.391   0.000
  -10.540   8.445   38.113   -10.540   8.445   38.113   0.000
  -11.996   21.590   18.690   -11.996   21.590   18.690   0.000
  -8.711   -9.196   10.694   -8.711   -9.196   10.694   0.000
  -34.645   -19.740   -14.588   -34.645   -19.740   -14.588   0.000
  -2.158   -8.888   30.922   -2.158   -8.888   30.922   0.000
  0.231   25.307   23.967   0.231   25.307   23.967   0.000
  -8.212   11.338   -27.202   -8.212   11.338   -27.202   0.000
  -25.303   -20.886   -6.269   -25.303   -20.886   -6.269   0.000
  -3.924   -17.990   -6.083   -3.924   -17.990   -6.083   0.000
  11.413   -11.076   8.944   11.413   -11.076   8.944   0.000
  28.189   -12.130   7.454   28.189   -12.130   7.454   0.000
  29.326   -18.174   -7.799   29.326   -18.174   -7.799   0.000
  0.262   -17.725   -6.572   0.262   -17.725   -6.572   0.000
  32.685   6.283   24.443   32.685   6.283   24.443   0.000
  26.910   -16.518   -25.349   26.910   -16.518   -25.349   0.000
  -2.549   7.624   -14.594   -2.549   7.624   -14.594   0.000
  34.224   13.975   12.959   34.224   13.975   12.959   0.000
  28.865   -10.526   -24.530   28.865   -10.526   -24.530   0.000
  -16.747   6.911   -2.722   -16.747   6.911   -2.722   0.000
  8.514   16.190   -31.952   8.514   16.190   -31.952   0.000
  -14.061   -9.332   -45.583   -14.061   -9.332   -45.583   0.000
  -4.926   -25.760   -17.135   -4.926   -25.760   -17.135   0.000
  26.962   16.324   -23.207   26.962   16.324   -23.207   0.000
  -3.079   -5.088   60.044   -3.079   -5.088   60.044   0.000
  15.325   -14.595   2.494   15.325   -14.595   2.494   0.000
  7.643   -8.361   -22.326   7.643   -8.361   -22.326   0.000
  17.199   25.078   5.032   17.199   25.078   5.032   0.000
  31.074   -12.228   6.030   31.074   -12.228   6.030   0.000
  27.102   17.149   -22.644   27.102   17.149   -22.644   0.000
  7.188   -15.938   -17.656   7.188   -15.938   -17.656   0.000
  17.383   -6.364   59.135   17.383   -6.364   59.135   0.000
  27.502   20.596   4.775   27.502   20.596   4.775   0.000
  -3.037   22.561   55.668   -3.037   22.561   55.668   0.000
  -1.600   22.939   51.913   -1.600   22.939   51.913   0.000
  -11.660   3.448   31.393   -11.660   3.448   31.393   0.000
  22.013   21.154   12.954   22.013   21.154   12.954   0.000
  33.412   9.303   -17.880   33.412   9.303   -17.880   0.000
  8.484   -18.344   -13.956   8.484   -18.344   -13.956   0.000
  -24.613   12.346   -21.455   -24.613   12.346   -21.455   0.000
  -2.939   -23.635   -20.158   -2.939   -23.635   -20.158   0.000
  -13.360   -24.269   -39.696   -13.360   -24.269   -39.696   0.000
  -0.314   -6.835   53.379   -0.314   -6.835   53.379   0.000
  -5.927   -10.503   21.480   -5.927   -10.503   21.480   0.000
  2.339   -9.058   23.600   2.339   -9.058   23.600   0.000
  33.064   -15.881   -6.425   33.064   -15.881   -6.425   0.000
  -7.400   17.662   7.779   -7.400   17.662   7.779   0.000
  -4.789   -2.101   61.708   -4.789   -2.101   61.708   0.000
