150, PA5-B-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  -15.539   8.845   50.623   -15.539   8.845   50.623   0.000
  -18.938   -28.203   -36.003   -18.938   -28.203   -36.003   0.000
  19.908   23.861   -28.257   19.908   23.861   -28.257   0.000
  -28.459   6.629   -34.102   -28.459   6.629   -34.102   0.000
  -14.251   -25.919   -38.192   -14.251   -25.919   -38.192   0.000
  -19.217   -12.948   -44.851   -19.217   -12.948   -44.851   0.000
  -29.246   5.350   -35.109   -29.246   5.350   -35.109   0.000
  -6.842   -19.319   -9.070   -6.842   -19.319   -9.070   0.000
  26.609   -20.473   -12.830   26.609   -20.473   -12.830   0.000
  37.604   -11.780   -6.921   37.604   -11.780   -6.921   0.000
  -34.880   -22.342   -29.986   -34.880   -22.342   -29.986   0.000
  27.634   -2.031   25.439   27.634   -2.031   25.439   0.000
  -29.172   9.636   -19.599   -29.172   9.636   -19.599   0.000
  39.800   -2.009   9.672   39.800   -2.009   9.672   0.000
  20.740   -19.795   -24.584   20.740   -19.795   -24.584   0.000
  38.581   5.153   -19.398   38.581   5.153   -19.398   0.000
  37.357   -6.581   -23.249   37.357   -6.581   -23.249   0.000
  -30.623   -27.133   -27.778   -30.623   -27.133   -27.778   0.000
  6.065   17.220   59.627   6.065   17.220   59.627   0.000
  16.406   -18.059   -1.680   16.406   -18.059   -1.680   0.000
  25.899   -11.473   7.359   25.899   -11.473   7.359   0.000
  -16.643   18.363   19.723   -16.643   18.363   19.723   0.000
  -32.237   -0.122   -38.247   -32.237   -0.122   -38.247   0.000
  -14.437   11.047   -30.889   -14.437   11.047   -30.889   0.000
  -0.221   -15.180   -4.913   -0.221   -15.180   -4.913   0.000
  6.973   5.353   -19.884   6.973   5.353   -19.884   0.000
  35.006   -15.168   -14.634   35.006   -15.168   -14.634   0.000
  -14.664   -30.422   -17.223   -14.664   -30.422   -17.223   0.000
  37.636   -13.105   -14.091   37.636   -13.105   -14.091   0.000
  -5.713   17.066   -2.267   -5.713   17.066   -2.267   0.000
  4.687   12.059   -16.803   4.687   12.059   -16.803   0.000
